Region,Comuna,Poblacion,Tasa,Fecha
Arica y Parinacota,Arica,247552.0,2897.2,15101.0
Arica y Parinacota,Arica,247552.0,2897.2,247552.0
Arica y Parinacota,Arica,247552.0,2897.2,6.0
Arica y Parinacota,Arica,247552.0,2897.2,6.0
Arica y Parinacota,Arica,247552.0,2897.2,12.0
Arica y Parinacota,Arica,247552.0,2897.2,41.0
Arica y Parinacota,Arica,247552.0,2897.2,63.0
Arica y Parinacota,Arica,247552.0,2897.2,87.0
Arica y Parinacota,Arica,247552.0,2897.2,115.0
Arica y Parinacota,Arica,247552.0,2897.2,124.0
Arica y Parinacota,Arica,247552.0,2897.2,134.0
Arica y Parinacota,Arica,247552.0,2897.2,166.0
Arica y Parinacota,Arica,247552.0,2897.2,224.0
Arica y Parinacota,Arica,247552.0,2897.2,270.0
Arica y Parinacota,Arica,247552.0,2897.2,297.0
Arica y Parinacota,Arica,247552.0,2897.2,310.0
Arica y Parinacota,Arica,247552.0,2897.2,328.0
Arica y Parinacota,Arica,247552.0,2897.2,353.0
Arica y Parinacota,Arica,247552.0,2897.2,371.0
Arica y Parinacota,Arica,247552.0,2897.2,405.0
Arica y Parinacota,Arica,247552.0,2897.2,477.0
Arica y Parinacota,Arica,247552.0,2897.2,525.0
Arica y Parinacota,Arica,247552.0,2897.2,596.0
Arica y Parinacota,Arica,247552.0,2897.2,653.0
Arica y Parinacota,Arica,247552.0,2897.2,806.0
Arica y Parinacota,Arica,247552.0,2897.2,904.0
Arica y Parinacota,Arica,247552.0,2897.2,1046.0
Arica y Parinacota,Arica,247552.0,2897.2,1176.0
Arica y Parinacota,Arica,247552.0,2897.2,1371.0
Arica y Parinacota,Arica,247552.0,2897.2,1533.0
Arica y Parinacota,Arica,247552.0,2897.2,1758.0
Arica y Parinacota,Arica,247552.0,2897.2,1887.0
Arica y Parinacota,Arica,247552.0,2897.2,2139.0
Arica y Parinacota,Arica,247552.0,2897.2,2464.0
Arica y Parinacota,Arica,247552.0,2897.2,2721.0
Arica y Parinacota,Arica,247552.0,2897.2,3123.0
Arica y Parinacota,Arica,247552.0,2897.2,3372.0
Arica y Parinacota,Arica,247552.0,2897.2,3882.0
Arica y Parinacota,Arica,247552.0,2897.2,4211.0
Arica y Parinacota,Arica,247552.0,2897.2,4636.0
Arica y Parinacota,Arica,247552.0,2897.2,4874.0
Arica y Parinacota,Arica,247552.0,2897.2,5220.0
Arica y Parinacota,Arica,247552.0,2897.2,5543.0
Arica y Parinacota,Arica,247552.0,2897.2,5907.0
Arica y Parinacota,Arica,247552.0,2897.2,6131.0
Arica y Parinacota,Arica,247552.0,2897.2,6374.0
Arica y Parinacota,Arica,247552.0,2897.2,6577.0
Arica y Parinacota,Arica,247552.0,2897.2,6783.0
Arica y Parinacota,Arica,247552.0,2897.2,6969.0
Arica y Parinacota,Arica,247552.0,2897.2,7172.0
Arica y Parinacota,Camarones,1233.0,2108.7,15102.0
Arica y Parinacota,Camarones,1233.0,2108.7,1233.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
Arica y Parinacota,Camarones,1233.0,2108.7,0.0
