"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,Primer caso
USA,245066,189.0,6075.0,5.0,10403.0,228588,5421.0,740.0,18.0,Jan 20,20-01-2020
Italy,115242,,13915.0,,18278.0,83049,4053.0,1906.0,230.0,Jan 29,29-01-2020
Spain,112065,,10348.0,,26743.0,74974,6092.0,2397.0,221.0,Jan 30,30-01-2020
Germany,84794,,1107.0,,22440.0,61247,3936.0,1012.0,13.0,Jan 26,26-01-2020
France,59105,,5387.0,,12428.0,41290,6399.0,905.0,83.0,Jan 23,23-01-2020
Iran,50468,,3160.0,,16711.0,30597,3956.0,601.0,38.0,Feb 18,18-02-2020
UK,33718,,2921.0,,135.0,30662,163.0,497.0,43.0,Jan 30,30-01-2020
Switzerland,18827,,536.0,,4013.0,14278,348.0,2175.0,62.0,Feb 24,24-02-2020
Turkey,18135,,356.0,,415.0,17364,1101.0,215.0,4.0,Mar 09,09-03-2020
Belgium,15348,,1011.0,,2495.0,11842,1144.0,1324.0,87.0,Feb 03,03-02-2020
Netherlands,14697,,1339.0,,250.0,13108,1053.0,858.0,78.0,Feb 26,26-02-2020
Canada,11283,,173.0,,1979.0,9131,120.0,299.0,5.0,Jan 24,24-01-2020
Austria,11129,,158.0,,1749.0,9222,227.0,1236.0,18.0,Feb 24,24-02-2020
S. Korea,10062,86.0,174.0,5.0,6021.0,3867,55.0,196.0,3.0,Jan 19,19-01-2020
Portugal,9034,,209.0,,68.0,8757,230.0,886.0,20.0,Mar 01,01-03-2020
Brazil,8044,,324.0,,127.0,7593,296.0,38.0,2.0,Feb 24,24-02-2020
Israel,6857,,36.0,,338.0,6483,107.0,792.0,4.0,Feb 20,20-02-2020
Sweden,5568,,308.0,,103.0,5157,429.0,551.0,30.0,Jan 30,30-01-2020
Australia,5314,,25.0,,585.0,4704,50.0,208.0,1.0,Jan 24,24-01-2020
Norway,5147,,50.0,,32.0,5065,96.0,949.0,9.0,Feb 25,25-02-2020
Czechia,3858,,44.0,,67.0,3747,72.0,360.0,4.0,Feb 29,29-02-2020
Ireland,3849,,98.0,,5.0,3746,109.0,779.0,20.0,Feb 28,28-02-2020
Russia,3548,,30.0,,235.0,3283,8.0,24.0,0.2,Jan 30,30-01-2020
Chile,3404,,18.0,,335.0,3051,31.0,178.0,0.9,Mar 02,02-03-2020
Denmark,3386,,123.0,,1089.0,2174,153.0,585.0,21.0,Feb 26,26-02-2020
Ecuador,3163,,120.0,,65.0,2978,100.0,179.0,7.0,Feb 28,28-02-2020
Malaysia,3116,,50.0,,767.0,2299,105.0,96.0,2.0,Jan 24,24-01-2020
Poland,2946,,57.0,,56.0,2833,50.0,78.0,2.0,Mar 03,03-03-2020
Romania,2738,,115.0,,267.0,2356,78.0,142.0,6.0,Feb 25,25-02-2020
Philippines,2633,,107.0,,51.0,2475,1.0,24.0,1.0,Jan 29,29-01-2020
India,2543,,72.0,,191.0,2280,,2.0,0.05,Jan 29,29-01-2020
