Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
"RT @ministeriosalud: - Ministro Jaime Mañalich anuncia que a partir de la próxima semana se entregará ""Carnet COVID"".

""Para toda persona c…",https://twitter.com/i/web/status/1255515913228554245,29/04/2020 11:14:54,Twitter Web App,0,44,Super de Salud Chile,11:14:54,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"Reporte #Covid_19 por parte del Ministerio de Salud:

🔹14.885 casos totales.

🔹520 casos nuevos.

🔹9 personas falle… https://t.co/TwFsB4cVWx",https://twitter.com/i/web/status/1255516567590313994,29/04/2020 11:17:30,Twitter Web App,0,0,Super de Salud Chile,11:17:30,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"RT @ministeriosalud: Ministro Jaime Mañalich | Red Asistencial #COVID_19

🔹 418 hospitalizados 
🔹 310 con ventilación mecánica
🔹 6.454 exám…",https://twitter.com/i/web/status/1255516692421251074,29/04/2020 11:18:00,Twitter Web App,0,88,Super de Salud Chile,11:18:00,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"RT @ministeriosalud: ""Los menores de Antofagasta fueron desconectados de ventilación mecánica y evolucionan de forma satisfactoria"".

- Min…",https://twitter.com/i/web/status/1255518890160988161,29/04/2020 11:26:44,Twitter Web App,0,29,Super de Salud Chile,11:26:44,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"RT @ministeriosalud: ""El Hospital Claudio Vicuña sigue atendiendo con normalidad con su personal de salud. La dirección del Hospital descar…",https://twitter.com/i/web/status/1255519478609215489,29/04/2020 11:29:04,Twitter Web App,0,25,Super de Salud Chile,11:29:04,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"RT @ministeriosalud: Subsec @pdazan | Cuarentenas

""Sabemos que esta es una medida muy estricta y es tremendamente importante que las perso…",https://twitter.com/i/web/status/1255523387239215104,29/04/2020 11:44:36,Twitter Web App,0,17,Super de Salud Chile,11:44:36,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"RT @ministeriosalud: 📺Subsec @pdazan | En vivo @HolaChileLaRed 

""A personas asintomáticas, se tomará el examen de PCR a quienes estén cerc…",https://twitter.com/i/web/status/1255537121999441921,29/04/2020 12:39:11,Twitter for iPhone,0,12,Super de Salud Chile,12:39:11,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"RT @arturozunigaj: Mi más sentido pésame a la familia, a las hijas y compañeros de trabajo de Lorena, la primera trabajadora de la #salud f…",https://twitter.com/i/web/status/1255541869934792704,29/04/2020 12:58:03,Twitter for iPhone,0,45,Instituto de Salud Pública de Chile,12:58:03,http://pbs.twimg.com/profile_images/1219288777228681216/DWTCW08o.jpg
"Prefiere medicamentos #bioequivalentes. 

El @ispch garantiza su calidad, seguridad y eficacia.

#ExigeElAmarillo https://t.co/xCvQJJLKMx",https://twitter.com/i/web/status/1255542361729400836,29/04/2020 13:00:00,TweetDeck,1,0,Instituto de Salud Pública de Chile,13:00:00,http://pbs.twimg.com/profile_images/1219288777228681216/DWTCW08o.jpg
"RT @ministeriosalud: Subsec @pdazan:

""El examen de IgG determina que una persona tiene defensas contra el virus""

""El organismo produce an…",https://twitter.com/i/web/status/1255542507695411200,29/04/2020 13:00:35,Twitter Web App,0,10,Super de Salud Chile,13:00:35,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"Súmate a #YoSirvoAMiPaísEnLaEmergencia y #CuidémonosEntreTodos 

Si eres profesional o técnico de salud, y quieres… https://t.co/N80nTfdVsL",https://twitter.com/i/web/status/1255544048582103040,29/04/2020 13:06:42,Twitter Web App,1,2,Super de Salud Chile,13:06:42,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"RT @izkia: Hoy tenemos 770 nuevos contagiados. Los asintomáticos, si bien se desconoce cuan infectantes son se deben aislar al igual que aq…",https://twitter.com/i/web/status/1255553131544543234,29/04/2020 13:42:48,Twitter for iPhone,0,3202,Colmed Chile,13:42:48,http://pbs.twimg.com/profile_images/1245851467891736576/TayMmMjI.jpg
"#DonaSangreDonaVida
En estos momentos nuestros bancos de sangre se encuentran en estado crítico, ya que ha disminui… https://t.co/kXphV51NFK",https://twitter.com/i/web/status/1255553177404964866,29/04/2020 13:42:59,Twitter for iPhone,1,3,Colmed Chile,13:42:59,http://pbs.twimg.com/profile_images/1245851467891736576/TayMmMjI.jpg
RT @ColMedValpo: Hoy recordamos vía streaming ¿Qué lugar tiene la salud en nuestras escuelas? miércoles 29 a las 20:00 @dridelatorre @mercu…,https://twitter.com/i/web/status/1255556927318372353,29/04/2020 13:57:53,Twitter for iPhone,0,1,Colmed Chile,13:57:53,http://pbs.twimg.com/profile_images/1245851467891736576/TayMmMjI.jpg
"Donar sangre es donar vida.

Si tu comuna está en cuarentena puedes pedir tu permiso en https://t.co/ZzyyA2AUEJ… https://t.co/o8HiZn3Fou",https://twitter.com/i/web/status/1255557461865492481,29/04/2020 14:00:00,TweetDeck,1,1,Instituto de Salud Pública de Chile,14:00:00,http://pbs.twimg.com/profile_images/1219288777228681216/DWTCW08o.jpg
RT @hospitalcopiapo: Hoy recibimos una importante donación: 19.500 mascarillas KN-95 las cuales serán utilizaras por nuestros funcionarios…,https://twitter.com/i/web/status/1255558253267869703,29/04/2020 14:03:09,Twitter for iPhone,0,9,Colmed Chile,14:03:09,http://pbs.twimg.com/profile_images/1245851467891736576/TayMmMjI.jpg
RT @ministeriosalud: Minsal anuncia que Carnet #COVID_19 comenzará a ser entregado la próxima semana https://t.co/pmbviYduZr,https://twitter.com/i/web/status/1255562018091929602,29/04/2020 14:18:06,Twitter Web App,0,3,Super de Salud Chile,14:18:06,http://pbs.twimg.com/profile_images/986969865830518784/gbIFCMKC.jpg
"RT @presidencia_cl: AHORA – El Pdte @sebastianpinera junto a ministros @mjose_zaldivar de @MintrabChile, @ignaciobriones_ de @Min_Hacienda…",https://twitter.com/i/web/status/1255565605844877312,29/04/2020 14:32:22,Twitter Web App,0,51,Ministerio de Salud,14:32:22,http://pbs.twimg.com/profile_images/1240679830183649288/S94zI3Yu.jpg
RT @colmedLA: Junto a @mgzbiobio hicimos entrega de 3 mil mascarillas a @rsierrac director del @SSBiobio para distribuir entre los trabajad…,https://twitter.com/i/web/status/1255566705750937602,29/04/2020 14:36:44,Twitter for iPhone,0,8,Colmed Chile,14:36:44,http://pbs.twimg.com/profile_images/1245851467891736576/TayMmMjI.jpg
"Agradecemos al Alcalde de @CerroNaviaCL, @mtamayor por acercarse al @FelixHfb y donar sangre. Aún estas a tiempo de… https://t.co/dpSvJYGHTy",https://twitter.com/i/web/status/1255567600794456065,29/04/2020 14:40:18,Twitter for iPhone,13,11,Colmed Chile,14:40:18,http://pbs.twimg.com/profile_images/1245851467891736576/TayMmMjI.jpg
"Desde el #Colmed expresamos nuestro más sentido pésame a la familia y compañeros/as de Lorena, la primera trabajado… https://t.co/LIzIT3vZxh",https://twitter.com/i/web/status/1255569431733899266,29/04/2020 14:47:34,Twitter for iPhone,134,63,Colmed Chile,14:47:34,http://pbs.twimg.com/profile_images/1245851467891736576/TayMmMjI.jpg
"RT @SuperDeSalud: [INFORMACIÓN]
#BuenasNoticias 
Les dejamos el comunicado que pone fin al decreto que suspendió las garantías GES.
La @Sup…",https://twitter.com/i/web/status/1255569606519017472,29/04/2020 14:48:16,Twitter for iPhone,0,23,Ministerio de Salud,14:48:16,http://pbs.twimg.com/profile_images/1240679830183649288/S94zI3Yu.jpg
"Si tienes a un miembro del hogar diagnosticado con COVID 19, es muy importante que adoptes las siguientes medidas:… https://t.co/B4qSdJTaaj",https://twitter.com/i/web/status/1255572564765577216,29/04/2020 15:00:01,TweetDeck,1,1,Instituto de Salud Pública de Chile,15:00:01,http://pbs.twimg.com/profile_images/1219288777228681216/DWTCW08o.jpg
RT @OPSOMSMexico: Los niños ‍👧‍👦 necesitan el amor y la atención de los adultos en los momentos difíciles. Dedíqueles más tiempo y atención…,https://twitter.com/i/web/status/1255574348641026048,29/04/2020 15:07:06,Twitter for iPhone,0,24,OPS/OMS,15:07:06,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
RT @opsargentina: Hay que hacer todo lo posible para 🛑 parar enfermedades prevenibles por la vacunación. Los brotes pueden derrumbar sistem…,https://twitter.com/i/web/status/1255574363346173953,29/04/2020 15:07:10,Twitter for iPhone,0,9,OPS/OMS,15:07:10,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
RT @OPSOMS_Honduras: El curso virtual sobre cuidado domiciliario de pacientes confirmados o sospechosos  de COVID19 puede ser visto y desca…,https://twitter.com/i/web/status/1255574396875481090,29/04/2020 15:07:18,Twitter for iPhone,0,18,OPS/OMS,15:07:18,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPSOMSPeru: 🚨 #COVID19 No se recomienda el uso de túneles u otras estructuras físicas (cabinas, gabinetes, puertas) con rociado de prod…",https://twitter.com/i/web/status/1255574554199633920,29/04/2020 15:07:55,Twitter for iPhone,0,62,OPS/OMS,15:07:55,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @opsomsnic: Estar vacunado es importante cuando los sistemas de salud están enfrentando #COVID19

Hagamos nuestra parte para poner fin a…",https://twitter.com/i/web/status/1255574573908504576,29/04/2020 15:08:00,Twitter for iPhone,0,40,OPS/OMS,15:08:00,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"Ministro de Salud, Jaime Mañalich, participa vía videoconferencia de la Comisión Mixta que revisa #LeyDeFármacosII https://t.co/tKC3Wyx3Mx",https://twitter.com/i/web/status/1255574687846973441,29/04/2020 15:08:27,Twitter for iPhone,41,9,Ministerio de Salud,15:08:27,http://pbs.twimg.com/profile_images/1240679830183649288/S94zI3Yu.jpg
"RT @bireme: @fiocruz  lança seu primeiro curso sobre #COVID19, online e gratuito, para profissionais de saúde ""COVID-19: Manejo da infecção…",https://twitter.com/i/web/status/1255574709099470848,29/04/2020 15:08:32,Twitter for iPhone,0,8,OPS/OMS,15:08:32,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPASOMSBrasil: P/ apoiar prof. de saúde do 🇧🇷 em meio à #COVID19, a OPAS lançou 4 cursos:

👉🏿 Doenças por vírus respiratórios emergente…",https://twitter.com/i/web/status/1255574753148108802,29/04/2020 15:08:43,Twitter for iPhone,0,11,OPS/OMS,15:08:43,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @ColmedAtacama: @ColmedAtacama hace entrega de 9 mil 500 mascarillas KN95 al @hospitalcopiapo, gracias a alianza entre @colmedchile y @F…",https://twitter.com/i/web/status/1255580348223717376,29/04/2020 15:30:57,Twitter for iPhone,0,8,Colmed Chile,15:30:57,http://pbs.twimg.com/profile_images/1245851467891736576/TayMmMjI.jpg
